Test Date,Positives Cases,Test Cases,Death Cases
03/01/2020,0,0,0
03/02/2020,0,0,0
03/03/2020,0,8,0
03/04/2020,2,8,0
03/05/2020,2,36,0
03/06/2020,7,45,0
03/07/2020,0,64,0
03/08/2020,4,63,0
03/09/2020,12,130,0
03/10/2020,24,177,0
03/11/2020,13,174,1
03/12/2020,48,371,0
03/13/2020,101,691,0
03/14/2020,74,511,2
03/15/2020,170,824,5
03/16/2020,186,891,8
03/17/2020,697,2204,8
03/18/2020,1131,3344,21
03/19/2020,1937,4844,24
03/20/2020,1805,5077,47
03/21/2020,2832,6927,44
03/22/2020,3260,6614,50
03/23/2020,2599,5387,82
03/24/2020,2952,5686,95
03/25/2020,3537,6955,123
03/26/2020,4005,6923,190
03/27/2020,4368,7948,217
03/28/2020,4002,7202,274
03/29/2020,3685,6201,292
03/30/2020,5686,9892,325
03/31/2020,4300,7331,384
04/01/2020,4370,7513,448
04/02/2020,5350,9363,497
04/03/2020,6147,11248,498
04/04/2020,4245,7814,510
04/05/2020,4630,8133,580
04/06/2020,4695,8959,576
04/07/2020,4927,10572,598
04/08/2020,5225,10696,569
04/09/2020,5356,11027,560
04/10/2020,5924,11762,539
04/11/2020,4900,10783,543
04/12/2020,3555,8053,572
04/13/2020,3702,8710,571
04/14/2020,7837,16210,510
04/15/2020,4844,12524,455
04/16/2020,4206,11756,414
04/17/2020,3911,11651,384
04/18/2020,3173,10271,391
04/19/2020,2370,7798,399
04/20/2020,2519,8829,364
04/21/2020,3107,11255,322
04/22/2020,3423,13364,312
04/23/2020,4618,18115,332
04/24/2020,4640,17238,315
04/25/2020,3145,13564,265
04/26/2020,2231,10541,246
04/27/2020,1849,9892,271
04/28/2020,2503,14067,228
04/29/2020,2637,14262,240
04/30/2020,2212,13494,223
05/01/2020,2664,16452,209
05/02/2020,1977,13359,191
05/03/2020,1320,9183,178
05/04/2020,1223,10817,159
05/05/2020,1477,13046,151
05/06/2020,1865,16369,150
05/07/2020,1567,15360,141
05/08/2020,1506,15681,131
05/09/2020,1128,13086,100
05/10/2020,940,9891,103
05/11/2020,766,9547,103
05/12/2020,1127,14753,91
05/13/2020,1295,18450,83
05/14/2020,1812,19773,70
05/15/2020,1243,18381,86
05/16/2020,993,15256,83
05/17/2020,637,10994,77
05/18/2020,591,13049,4424
05/19/2020,729,15589,60
05/20/2020,1125,21148,115
05/21/2020,809,19214,72
05/22/2020,782,20909,74
05/23/2020,857,21965,76
05/24/2020,608,15971,58
